Department,Status,Total,"Last Activity"
"WoT → Вопросы по аккаунту WoT → Не приходит SMS","Info Given",1,"0 days 07 hours 27 minutes"
"WoT → Нарушения Правил игры WoT → Причина блокировки: ""Chargeback issue""","Need info",17,"6 days 21 hours 51 minutes"
"Blitz → Вопросы по игре и игровому имуществу Blitz → Боевые задачи: ивенты, акции, задания","Need info",12,"6 days 07 hours 49 minutes"
"Blitz → Вопросы по игре и игровому имуществу Blitz → Боевые задачи: ивенты, акции, задания","On hold",16,"40 days 18 hours 34 minutes"
"Blitz → Вопросы по игре и игровому имуществу Blitz → Боевые задачи: ивенты, акции, задания","In Queue",10,"0 days 12 hours 51 minutes"
"Blitz → Вопросы по игре и игровому имуществу Blitz → Боевые задачи: ивенты, акции, задания",Reopened,2,"0 days 11 hours 01 minutes"
"WOWS → Вопросы по игре и игровому имуществу WOWs → Геймплей","Need info",33,"6 days 20 hours 49 minutes"
"WOWS → Вопросы по игре и игровому имуществу WOWs → Геймплей","In Queue",18,"0 days 11 hours 59 minutes"
"WOWS → Вопросы по игре и игровому имуществу WOWs → Геймплей","On hold",12,"8 days 20 hours 47 minutes"
"WOWS → Вопросы по игре и игровому имуществу WOWs → Геймплей","Info Given",3,"0 days 12 hours 38 minutes"
"WOWS → Вопросы по игре и игровому имуществу WOWs → Геймплей",Reopened,4,"0 days 11 hours 18 minutes"
"TWA ALPHA → Вопросы по игре и игровому имуществу TWA","On hold",1,"66 days 13 hours 33 minutes"
"TWA ALPHA → Вопросы по игре и игровому имуществу TWA","Need info",1,"6 days 16 hours 51 minutes"
"WoT → Нарушения Правил игры WoT → Причина блокировки: ""Фин. отдел""","Need info",4,"42 days 15 hours 41 minutes"
"WoT → Нарушения Правил игры WoT → Причина блокировки: ""Фин. отдел""","In Queue",2,"0 days 05 hours 57 minutes"
"Project Support Issues → Events and HighLevel  → E&H Other","On hold",1,"190 days 18 hours 25 minutes"
"Blitz → Вопросы по игре и игровому имуществу Blitz → Потерял имущество","On hold",2,"40 days 18 hours 32 minutes"
"Blitz → Вопросы по игре и игровому имуществу Blitz → Потерял имущество","In Queue",6,"0 days 11 hours 13 minutes"
"Blitz → Вопросы по игре и игровому имуществу Blitz → Потерял имущество","Info Given",2,"0 days 12 hours 51 minutes"
"Blitz → Вопросы по игре и игровому имуществу Blitz → Потерял имущество","Need info",3,"4 days 03 hours 36 minutes"
"Blitz → Вопросы по игре и игровому имуществу Blitz → Потерял имущество",Reopened,1,"0 days 09 hours 32 minutes"
"Financial → Платеж не прошел → Мобильный платеж и смс-оплата НП","Need info",4,"42 days 02 hours 14 minutes"
"Financial → Платеж не прошел → Мобильный платеж и смс-оплата НП","On hold",2,"6 days 17 hours 37 minutes"
"Project Support Issues → Sandbox_Tech","Info Given",2,"42 days 16 hours 48 minutes"
"WoWP → Вопросы по игре и игровому имуществу WoWP → Геймплей","Need info",6,"5 days 14 hours 59 minutes"
